record_type	id	family	first_date	last_date	file_count	raw_log_count	result_count	prereg_count	artifact_file_count	source_count	measurement_class	current_status	evidence_or_result	canonical_reference	notes
experiment	CV	C	2026-08-28	2026-08-28	14	5	1	1	7	0	대장 참조	CZ와 합쳐 주 F/U 정본 구성	AF 동결 이미지 5회 재플래시 F/U	measure-harness/2026-08-28_expCU_CV_CW_CX_results.md	
experiment	CW	C	2026-08-28	2026-08-30	9	0	1	1	3	4	대장 참조	RAM 배치 분리; 누적 절대값과 혼합 금지	8-seed 순환 decaps 6회; warm 12.97~13.02%, cold 18.58~18.62%	measure-harness/2026-08-28_expCU_CV_CW_CX_results.md	
experiment	CX	C	2026-08-28	2026-08-30	9	0	1	1	3	4	대장 참조	앞선 다른 버퍼·RNG 계측 가짜 양성 기록 보존	고정/무작위 ct Welch t, 정본 run5/6 최대 | t | 1.99	measure-harness/2026-08-28_expCU_CV_CW_CX_results.md	
experiment	CY	C	2026-08-28	2026-08-28	7	5	1	1	0	0	대장 참조	현행 누적 개선률 정본	CJ 동결 이미지 5회: 25.96/20.25/11.22/18.30%	measure-harness/2026-08-28_expCY_results.md	
experiment	CZ	C	2026-08-28	2026-08-28	4	2	1	1	0	0	대장 참조	CV+CZ 7회, 연산별 14 paired effects가 주 F/U 정본	AF 동결 이미지 2회 추가; keygen·decaps 효과 범위를 0.000791/0.000491%p 확장	measure-harness/2026-08-28_expCZ_results.md	
experiment	DA	D	2026-08-28	2026-08-28	20	2	1	1	13	2	대장 참조	외삽 아닌 직접 음성 결과	실제 33/43=76.7% 배칭, U11이 10.969~10.975% 느림	measure-harness/2026-08-28_expDA_results.md	
experiment	DB	D	2026-08-28	2026-08-28	75	9	1	1	42	21	미측정/부분 미측정	모든 cycle 폐기; 정확한 alias-safe 성능 미측정	전체 4 phase solver는 alias mismatch	measure-harness/2026-08-28_expDB_results.md	
experiment	DC	D	2026-08-28	2026-08-28	17	2	1	1	10	3	종료/실패 판정	정확성 성공·성능 실패, 미채택	Lenngren y1 U′가 S′보다 kg 4.282~4.292%, enc 5.751~5.753%, dec 3.941~3.944% 느림	measure-harness/2026-08-28_expDC_results.md	
experiment	DD	D	2026-08-30	2026-08-30	637	7	1	3	0	504	실보드/직접 측정	`실보드·현행`; 정본은 `expDD_wrap_run1/2.txt`. stall 3종의 0은 지원·구성 미확인	wrap ELF를 독립 2회 플래시. PMU cycle 감소 10.85~23.78%, 퇴직 명령 감소 9.23~27.08%; KAT·8-seed·16셀 PASS	measure-harness/2026-08-30_expDD_results.md	
experiment	DE	D	2026-08-30	2026-08-31	311	5	1	2	1	224	실보드/직접 측정	`실보드·현행`; 관측 high-water, 모든 입력의 정적 최악 증명은 아님	보드 KAT·8-seed·거부 gate PASS. A/B 모두 kg/enc/warm/cold 9,176/6,664/6,600/10,264 B, guard 훼손 0	measure-harness/2026-08-30_expDE_results.md	
experiment	DF	D	2026-08-31	2026-08-31	43	2	1	1	34	5	대장 참조	앞 둘만 전체 경로로 진행; 뒤 둘 폐기	MVE cswap −46.851%, paired inversion −47.487%; direct-64 Keccak +356.545%, MVE rejection/MAC +51.460%	measure-harness/2026-08-31_expDF_four_gates_results.md	
experiment	DG	D	2026-08-31	2026-08-31	18	2	0	1	9	6	대장 참조	역사·설계 단계; 성능 정본은 DH	paired inversion의 producer/consumer 경계와 0 분모 처리를 확인하는 통합 단계	measure-harness/2026-08-31_expDG_full_xwing_prereg.md	
experiment	DH	D	2026-08-31	2026-08-31	24	3	1	1	11	7	실보드/직접 측정	실보드·현행; 두 플래시, 정확성·저차점 PASS	1단계 승자 기준 encaps에서 MVE cswap −1.264~1.265%, paired inversion −2.957%, 둘 다 −4.226~4.228%; warm/cold −1.707~1.709/−0.928%	measure-harness/2026-08-31_expDH_draft10_full_results.md	
experiment	DI	D	2026-08-31	2026-08-31	38	4	2	2	14	10	종료/실패 판정	cold 사전 문턱 실패로 미채택; 동일 명령/cycle 차이는 dual-beat 가설과 일치하나 인과 증명 아님	단독 12.883% 개선, 전체 enc/warm/cold 0.235/0.309/0.162~0.163%	measure-harness/2026-08-31_expDI_m85_schedule_results.md	
