row_kind	source_item	related_experiments	data_family	original_denominator	standard_denominator_ids	standard_denominator	reference_cycles	operation_scope	conversion_status	conversion_formula	normalized_value_or_scope	comparability_group	allowed_comparison	forbidden_comparison	evidence	notes
standard			표준 분모 레지스트리		D-PAIR-S	같은 ELF·같은 연산의 S 또는 S' 기준 셀		연산별 S/U'	definition			PAIR-S/{ELF}/{operation}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-PAIR-INST-A	같은 DWT-off ELF·같은 연산의 A 퇴직 명령 수		연산별 PMU instruction A/B	definition			PAIR-INST-A/{ELF}/{operation}/{cache}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-RESOURCE-A	같은 BSP·빌드 manifest의 A 자원 바이트		비휘발·정적 RAM; 자원 종류 분리	definition			RESOURCE-A/{build-manifest}/{metric}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-SEQ	같은 입력·빌드의 순차 기준 커널		커널/스케줄 1회	definition			LOCAL-SEQ/{build}/{kernel}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-MIN	min(cyc_A, cyc_B)		두 스트림의 겹침 구간	definition			LOCAL-HIDE/{build}/{pair}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-ISSUE	2 × 측정 cycle의 발행 슬롯		동일 커널 발행 슬롯	definition			LOCAL-ISSUE/{build}/{kernel}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-CALL	명시된 함수·커널 1회 호출		cyc/call	definition			LOCAL-CALL/{build}/{symbol}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-INST	명시된 동적 명령 1개		cyc/instruction	definition			LOCAL-INST/{build}/{instruction}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-BATCH	명시된 크기의 완전한 배치 1회		cyc/batch; batch size 필수	definition			LOCAL-BATCH/{build}/{size}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-SAMPLE	독립 표본·seed·boot 1개		통계 표본 단위	definition			SAMPLE/{protocol}/{class}	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
standard			표준 분모 레지스트리		D-NOPERF	성능 분모 없음		정확성·정정·철회	definition			NO-PERFORMANCE-DENOMINATOR	동일 comparability_group의 동일 연산·빌드·cache 상태	draft·ELF·연산·warm/cold를 넘는 직접 비율 비교	분모_정의_통일.md §7; 논문_데이터_표.md 분모 규칙	고정 cycle이 빈 분모는 각 paired/local 셀의 실측값을 사용
data_mapping	T1	K1~K4	게이트 상한·발행 슬롯	전체 X-Wing cycle; 2×cyc	D24-KG;D24-ENC;D24-DEC;D-ISSUE	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×overlap/D24; idle/(2×cyc)	26.4/21.3/24.2% of D24; 슬롯 낭비는 로컬	E2E-2024/{operation}; LOCAL-ISSUE	T1↔T3의 같은 연산	D10·warm/cold·다른 연산과 교차	논문_데이터_표.md T1; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T2	A~F;AG	스케줄러 비교	해당 행의 순차 스케줄	D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	100×(candidate-seq)/seq	cyc/schedule; 같은 행 순차 대비 %	LOCAL-SEQ/{generation}/{kernel}	같은 입력·같은 세대의 순차/지퍼/solver	08-16 역사값과 AG 현행값의 직접 합산	논문_데이터_표.md T2; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T3	M;M4;K	초기 E2E 투영·유닛 진단	구 매크로 유닛 합; 현행 D24	D24-KG;D24-ENC;D24-DEC;D-CALL	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×절감cycle/D24	7.7/5.5/7.2% of D24; 회수율 29/26/30%	E2E-2024/{operation}; LOCAL-CALL	T1 상한과 같은 D24	유닛 내부 %를 E2E %로 표기	논문_데이터_표.md T3; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T4	E;I;J;L	회수 얇음 원인	순차; min(A,B); 곱 1회	D-SEQ;D-MIN;D-CALL	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	지표별 표준식	커널별 cyc/call·은닉률·A-세금	LOCAL/{build}/{metric}	같은 빌드·같은 커널 지표	종단간 D24/D10와 나란히 합산	논문_데이터_표.md T4; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T5	N;N2;Q	페어링 스펙트럼	min(A,B) 또는 해당 순차	D-MIN;D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	hidden/min(A,B); 100×(candidate-seq)/seq	페어/파이프별 로컬 은닉률	LOCAL-HIDE/{build}/{pair}	같은 build의 pairing	다른 파이프/빌드의 절대 cycle 합산	논문_데이터_표.md T5; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T6	T	no-yield+b0	같은 커널 순차	D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	100×(candidate-seq)/seq	커널 A/B별 로컬 변화	LOCAL-SEQ/T/{kernel}	T 내부 A/B	E2E 대표값으로 승격	논문_데이터_표.md T6; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T7	U	yield1+b1	로컬 순차 및 2024 E2E 투영	D-SEQ;D24-KG;D24-ENC;D24-DEC	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	로컬은 seq; 투영은 절감cycle/D24	역사 후보; AF가 직접 E2E 대체	LOCAL-SEQ/U; E2E-2024/{operation}	투영끼리만	직접 실측과 투영을 같은 증거등급으로 취급	논문_데이터_표.md T7; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T8	V;W	NTT standalone	NTT/invNTT 1회 호출	D-CALL	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	cycle/call	forward/inverse 각각 cyc/call	LOCAL-CALL/{build}/{ntt-direction}	동일 구현·방향	full ML-KEM/X-Wing E2E %로 직접 환산	논문_데이터_표.md T8; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T9	X;Y	ML-KEM 직접 통합	같은 ELF의 A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	연산별 paired effect	PAIR-A/{ELF}/{operation}	같은 X/Y A/B 셀	다른 ELF의 T11 이후 값과 산술 합	논문_데이터_표.md T9; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T10	Z	동시 보존·귀속	같은 연산의 기준 셀	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×bucket/A	연산 내부 귀속 비중	PAIR-A/Z/{operation}	같은 Z attribution 합계	attribution을 독립 E2E 효과로 중복 합산	논문_데이터_표.md T10; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T11	AA;AB	초기 X-Wing E2E	같은 ELF의 A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	2.85/1.54/3.25% paired effect	PAIR-A/AA-AB/{operation}	동일 ELF의 연산별 A/B	T14와 단순 합산	논문_데이터_표.md T11; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T12	AC;AD	b0+x4 E2E 실패	같은 ELF의 A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	실패 효과와 원인 분해	PAIR-A/AC/{operation}	AC 내부 셀	성공 대표값에 편입	논문_데이터_표.md T12; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T13	AE2;AF;AI	U 직접 E2E 실패	같은 ELF의 A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	실패 paired effect	PAIR-A/AF/{operation}	같은 AF 셀	현행 F/U 범위와 합치기	논문_데이터_표.md T13; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T14	AJ	C9 v1 E2E	같은 ELF의 A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	1.46/2.67/4.66% paired effect	PAIR-A/AJ/{operation}	AJ 내부 A/B	T11과 다른 ELF 간 산술 합	논문_데이터_표.md T14; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T15	AK1;AK2	C9 v2·ITCM	각 같은 ELF의 A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	기각 paired effect	PAIR-A/AK/{ELF}/{operation}	동일 AK ELF 내부	AK1/AK2 또는 타 실험을 무조건 같은 분모로 취급	논문_데이터_표.md T15; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T16	AL	same-ELF 2×2	같은 ELF cell-00	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(cell00-cellXY)/cell00	4.29/4.16/7.71% 요인 분해	PAIR-A/AL/{operation}	AL 2×2 내부	T20 절대 정본과 같은 baseline으로 간주	논문_데이터_표.md T16; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T17	AX;BC;BH;BN;BI	채택 최적화	각 실험의 같은 ELF A 셀	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	최적화별 paired effect; 세로 누적은 파생	PAIR-A/{experiment}/{operation}	각 행 내부 A/B	서로 다른 ELF 행의 절대 cycle 직접 비교	논문_데이터_표.md T17; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T18	BA;BL;BV;BX	M85 발행 규칙	호출 또는 동적 명령 1개	D-CALL;D-INST	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	cycles/call 또는 cycles/instruction	단위별 로컬 단가	LOCAL-INST/{instruction}	같은 명령·의존 조건	cyc/call과 cyc/instruction 혼합	논문_데이터_표.md T18; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T19	BJ	메모리 배치	함수 호출 또는 명시 배치	D-CALL;D-BATCH	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	cycles/call 또는 cycles/batch	배치 크기·배치 위치별 단가	LOCAL-BATCH/BJ/{size}	같은 batch size·배치	batch size 없는 per-item 환산	논문_데이터_표.md T19; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T20	BU;BW	draft-10 절대 cycle	draft-10 연산 1회	D10-KG;D10-ENC;D10-DEC-W;D10-DEC-C	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	direct	identity	627069/988456/780020 warm/1406887 cold cyc/op	E2E-D10/{operation}/{cache}	동일 draft·연산·cache	D24 또는 warm/cold 교차	논문_데이터_표.md T20; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T21	BV;BY	스칼라×MVE·상한	min(stream) 또는 연산 cycle	D-MIN;D-CALL	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	hidden/min(A,B); bucket/operation	100% 은닉은 로컬; NTT는 연산 상한	LOCAL-HIDE; LOCAL-CALL	같은 커널·연산	100%를 E2E 100%로 해석	논문_데이터_표.md T21; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T22	BE;BF;BG;BK;BP;BQ;BS;BT;BX	종료 가족 상한	후보별 동일 기준 커널/연산	D-SEQ;D-CALL;D-INST	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	후보별 표준 로컬 식	각 후보 상한은 해당 로컬 분모	LOCAL/{experiment}/{metric}	같은 후보 내부	가족 간 상한을 한 E2E 합으로 더하기	논문_데이터_표.md T22; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T23	BV;BQ;BI;BL	과거 수치 정정	성능 분모 없음	D-NOPERF	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	not_applicable	none	정정/교체 관계만 기록	NO-PERFORMANCE-DENOMINATOR	구값↔정정값 계보	정정표 자체를 새 측정으로 인용	논문_데이터_표.md T23; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T24	CA;CB;CC;CD;CE	합성 stitching	커널 1회·명령 1개·min(stream)	D-CALL;D-INST;D-MIN	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	cycles/call; cycles/instruction; hidden/min	합성 커널 로컬 규칙	LOCAL/T24/{metric}	같은 lane·커널·명령수	full X-Wing 실측으로 표기	논문_데이터_표.md T24; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T25	CG;CH;CI	실물 X25519 guest	호출·명령·순차 커널	D-CALL;D-INST;D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	candidate/seq; cycles/instruction	cyc/call 및 로컬 회귀율	LOCAL/T25/{kernel}	같은 플래시·커널	T24 합성 누출계수의 무조건 적용	논문_데이터_표.md T25; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T26	CJ	draft-10 누적 A/B	같은 ELF A 기준 연산	D-PAIR-A	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	25.967/20.249/11.224 warm/18.298 cold%	PAIR-A/CJ/{operation}/{cache}	CJ A/B 동일 cache	T20 절대 cycle로 역산하거나 warm/cold 혼합	논문_데이터_표.md T26; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T27	CK;CL	동적 명령·슬롯·F 상한	명령·발행 슬롯·같은 F 셀	D-INST;D-ISSUE;D-PAIR-F	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	cycles/instruction; idle/(2×cyc); 100×(F-U)/F	단위별 슬롯 회계	PAIR-F/CK/{operation}; LOCAL-ISSUE	같은 CK run/연산	히스토그램만으로 순서 하한 복원	논문_데이터_표.md T27; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T28	CM	공식 vector 정확성	성능 분모 없음	D-NOPERF	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	not_applicable	none	공식 vector 전량 PASS	NO-PERFORMANCE-DENOMINATOR	byte-for-byte/KAT 결과	정확성 PASS를 성능값으로 환산	논문_데이터_표.md T28; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T28b	CO	in-context checkpoint	같은 ELF 기준 셀 또는 단계 호출	D-PAIR-S;D-CALL	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(S-U)/S; cycles/call	연산별 checkpoint 효과	PAIR-S/CO/{operation}; LOCAL-CALL	CO 내부 동일 단계	다른 checkpoint/ELF와 절대 비교	논문_데이터_표.md T28b; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T29	CP	파트너 범위 확장	같은 ELF 기준 셀·순차	D-PAIR-A;D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A	35% 커버리지 후보 음성	PAIR-A/CP/{operation}	CP 내부	실패 후보를 누적 이득에 포함	논문_데이터_표.md T29; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T30	CQ	부팅 재현성	독립 reset/boot 표본	D-SAMPLE	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	range/CV across boots	boot별 cycle 분포	SAMPLE/CQ/{cell}/{boot}	같은 cell의 boot 반복	boot 표본을 같은 실행 반복으로 축소	논문_데이터_표.md T30; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T31	CL	히스토그램 하한 철회	성능 분모 없음	D-NOPERF	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	not_convertible	none	기존 하한 주장 폐기	NO-PERFORMANCE-DENOMINATOR	철회 사실만	순서 없는 histogram에서 cycle 하한 재생성	논문_데이터_표.md T31; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T32	CR	fe25519_mul y1	fe25519_mul 1회 호출	D-CALL	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	cycles/call	r11 y1 micro cyc/call	LOCAL-CALL/CR/fe25519_mul	동일 구현·호출	T43 E2E 효과로 자동 환산	논문_데이터_표.md T32; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T33	CS	phase-0 solver	같은 입력 순차 커널	D-SEQ	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	local_only	100×(candidate-seq)/seq	phase-0 로컬 음성	LOCAL-SEQ/CS/phase0	동일 phase·입력	alias-safe 전체 solver 성능으로 확대	논문_데이터_표.md T33; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T34	CV;CZ	주 F/U 7회	각 재플래시의 같은 F 셀	D-PAIR-F	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(F-U)/F	14 effects/연산; paired F 분모	PAIR-F/{reflash}/{operation}	각 F/U 쌍과 연산별 effects	F/U 절대 셀 28개를 28 effects라 부르기	논문_데이터_표.md T34; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T35	CU	leave-one-out	같은 ELF A 기준 연산; 같은 run의 A−B 감소	D-PAIR-A;D-ATTR-AB	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A-B)/A; 100×(B−i−B)/(A−B)	6-run 축별 기여·잔차; x06 비중 46.11–67.61%	PAIR-A/CU/{axis}/{operation}/{cache}; ATTR-AB/CU/{run}/{operation}/{cache}	같은 run·연산의 CU 셀과 A−B	다른 run/축의 extrema 조합	논문_데이터_표.md T35; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
data_mapping	T36	CW	8-seed decaps	같은 ELF A 기준 seed별 decaps	D-PAIR-A;D-SAMPLE	레지스트리의 ID별 정의; 여러 ID는 지표별 분리		원래 연산·빌드·cache 상태 유지	derived	100×(A_seed-B_seed)/A_seed	12.97–13.02% warm; 18.58–18.62% cold	PAIR-A/CW/{seed}/{cache}	같은 seed·cache A/B	warm/cold 또는 seed extrema 교차	논문_데이터_표.md T36; paper/데이터_누적_검증대장.md §5	원시 cycle 불변; 환산은 명시된 분자와 동일 셀 분모만 사용
